carrier,airport,avg_predicted_delay
AA,ATL,12.921324
AA,CLT,10.313781
AA,DEN,12.605865
AA,DFW,13.548542
AA,EWR,17.178791
AA,JFK,14.716888
AA,LAX,12.283981
AA,LGA,13.206207
AA,MSP,12.335545
AA,OAK,7.201014
AA,ORD,13.187445
AA,PHX,10.9662075
AA,SEA,12.662867
AA,SFO,15.5190115
AA,SJC,10.592901
AA,SLC,12.955044
AA,STL,12.816873
AS,ATL,5.537713
AS,DEN,7.210829
AS,DFW,6.177231
AS,EWR,12.03784
AS,JFK,7.779347
AS,LAX,7.8738513
AS,MSP,6.7452946
AS,OAK,6.97717
AS,ORD,8.555979
AS,PHX,5.9687495
AS,SEA,7.4294834
AS,SFO,12.301401
AS,SJC,6.6801033
AS,SLC,6.594774
AS,STL,5.426725
B6,ATL,17.560175
B6,CLT,12.302715
B6,DEN,16.016918
B6,DFW,13.766301
B6,EWR,22.968754
B6,JFK,18.30301
B6,LAX,13.237358
B6,LGA,20.49769
B6,MSP,16.4564
B6,OAK,10.736509
B6,ORD,19.017124
B6,PHX,17.169601
B6,SEA,13.151154
B6,SFO,15.105178
B6,SJC,14.210269
B6,SLC,14.315364
DL,ATL,8.3876095
DL,CLT,7.461217
DL,DEN,9.260329
DL,DFW,10.166569
DL,EWR,15.370433
DL,JFK,13.399884
DL,LAX,9.554643
DL,LGA,14.474511
DL,MSP,8.362076
DL,OAK,6.9172955
DL,ORD,12.581723
DL,PHX,7.7133822
DL,SEA,8.457455
DL,SFO,11.880899
DL,SJC,7.456801
DL,SLC,7.6321216
DL,STL,7.231862
F9,ATL,17.349232
F9,CLT,16.591856
F9,DEN,14.928923
F9,DFW,16.450897
F9,EWR,13.7615185
F9,LAX,13.833806
F9,LGA,18.78157
F9,MSP,13.575515
F9,OAK,11.90519
F9,ORD,18.927425
F9,PHX,15.871675
F9,SEA,13.958277
F9,SFO,19.748013
F9,SJC,14.150636
F9,SLC,14.306774
F9,STL,16.485512
UA,ATL,13.101927
UA,CLT,14.902383
UA,DEN,10.112943
UA,DFW,14.1156225
UA,EWR,15.934892
UA,JFK,13.007684
UA,LAX,11.605145
UA,LGA,15.619073
UA,MSP,12.718555
UA,ORD,12.286285
UA,PHX,11.552003
UA,SEA,11.212221
UA,SFO,13.440168
UA,SJC,9.895854
UA,SLC,11.843284
UA,STL,14.403843
WN,ATL,9.176493
WN,CLT,11.369466
WN,DEN,9.322322
WN,EWR,19.75072
WN,LAX,10.891353
WN,LGA,13.339915
WN,MSP,10.880664
WN,OAK,8.815031
WN,ORD,13.942709
WN,PHX,9.250295
WN,SEA,10.470112
WN,SFO,15.787549
WN,SJC,8.285672
WN,SLC,10.557791
WN,STL,8.775019
